Код станции,Название станции,Тип станции
700577,"Шарын (рзд), КЗХ ",
884304,"Шарыпово, КРА ",Грузовая станция
307500,"Шарья, СЕВ ",Грузовая станция
752463,"Шасенем (оп), ТУР ",
296804,"Шастинский (рзд), СЕВ ",Грузовая станция
107617,"Шатейкяй, ЛИТ ",
218025,"Шатилово, МОС ",
245802,"Шатки, ГОР ",Грузовая станция
347103,"Шатрище, ЮЗА ",Станция
232107,"Шатура, МОС ",Грузовая станция
232003,"Шатурторф, МОС ",Грузовая станция
753911,"Шаумян, ТУР ",
656961,"Шафраново, КБШ ",Станция
165716,"Шахи, БЕЛ ",
200623,"Шахово, МОС ",
197702,"Шаховская, МОС ",Грузовая станция
743500,"Шахрихан, УЗБ ",Грузовая станция
274519,"Шахровский, ГОР ",Станция
992706,"Шахта-Сахалинская, ДВО ",Грузовая станция
910802,"Шахтаум, ДВО ",Грузовая станция
550606,"Шахтахты, АЗЕ ",Грузовая станция
871520,"Шахтёр, ЗСИ ",Станция
982210,"Шахтерская, ДВО ",Остановочный пункт
944609,"Шахтёрская, ЗАБ ",Грузовая станция
512801,"Шахтная, СКА ",Грузовая станция
267002,"Шахунья, ГОР ",Грузовая станция
448516,"Шведская Могила, ЮЖН ",
128505,"Швянченеляй, ЛИТ ",Грузовая станция
434208,"Шебекино, ЮВО ",Грузовая станция
444106,"Шебелинка, ЮЖН ",Грузовая станция
921607,"Шеберта, ВСИ ",Грузовая станция
333736,"Шевченко, ЮЗА ",
494707,"Шевченко, ДОН ",Грузовая станция
430508,"Шевченково-Южное, ЮЖН ",Грузовая станция
535907,"Шедок, СКА ",Грузовая станция
282214,"Шежам, СЕВ ",Станция
551444,"Шейфлю, АЗЕ ",
559403,"Шеки, АЗЕ ",Грузовая станция
302102,"Шексна, СЕВ ",Грузовая станция
307303,"Шекшема, СЕВ ",Грузовая станция
251803,"Шелангер, ГОР ",Грузовая станция
647252,"Шелашниково, КБШ ",
702200,"Шелек, КЗХ ",
294705,"Шелекса, СЕВ ",Грузовая станция
542402,"Шелковская, СКА ",Грузовая станция
302225,"Шеломово, СЕВ ",Станция
220909,"Шелухово, МОС ",Грузовая станция
853537,"Шелховичиха, ЗСИ ",Станция
266300,"Шеманиха, ГОР ",Грузовая станция
141105,"Шеметово, БЕЛ ",
712108,"Шемонаиха, КЗХ ",
352309,"Черкассы-Волынские, ЛЬВ ",Грузовая станция
531003,"Черкесск, СКА ",Грузовая станция
199208,"Черкизово, МОС ",Грузовая станция
835308,"Черлак, ЗСИ ",Грузовая станция
895008,"Черманчет, КРА ",Грузовая станция
624208,"Чернавка, ПРИ ",Грузовая станция
925523,"Чёрная, ВСИ ",
258610,"Чёрная Речка, ГОР ",Станция
185866,"Чернец, МОС ",Станция
325000,"Чернигов, ЮЗА ","Перевалка на реку 
Грузовая станция"
325104,"Чернигов-Северный, ЮЗА ",Грузовая станция
818800,"Черниговка, ЮУР ",Грузовая станция
654701,"Черниковка, КБШ ",Грузовая станция
654805,"Черниковка-Восточная, КБШ ",Грузовая станция
620813,"Черниха, ПРИ ",Станция
165612,"Черницы, БЕЛ ",
417728,"Чернобаевка, ОД ",Станция
942001,"Черновская, ЗАБ ",Грузовая станция
366602,"Черновцы, ЛЬВ ",Грузовая станция
366509,"Черновцы-Северная, ЛЬВ ",Грузовая станция
368203,"Черновцы-Южная, ЛЬВ ",Грузовая станция
887904,"Черногорские Копи, КРА ",Грузовая станция
650058,"Чёрное Озеро, КБШ ",
67320,"Чернозем, ОКТ ",
156308,"Чернозёмовка, БЕЛ ",Грузовая станция
411102,"Чернолесская, ОД ",Грузовая станция
402000,"Черноморск-Порт, ОД ","Погранпереход 
Грузовая станция"
402103,"Черноморск-Порт (эксп.), ОД ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
424403,"Черноморская (для ОПЗ), ОД ",
424600,"Черноморская (для ОПЗ) (эксп.), ОД ",
890305,"Чернореченская, КРА ",Грузовая станция
342805,"Чернорудка, ЮЗА ",
384808,"Чернотиссов, ЛЬВ ",Грузовая станция
539132,"Черноярская, СКА ",Станция
503107,"Чернухино, ДОН ",Грузовая станция
258107,"Чернушка, ГОР ",Грузовая станция
288530,"Черный, СЕВ ",
69237,"Черный Дор, ОКТ ",
797407,"Черный Мыс, СВЕ ",Грузовая станция
330403,"Черный Остров, ЮЗА ",Грузовая станция
812804,"Черный Отрог, ЮУР ",Грузовая станция
976101,"Чернышевка, ДВО ",Грузовая станция
949104,"Чернышевск-Забайкальский, ЗАБ ",Грузовая станция
100571,"Чернышевское, КЛГ ",
101004,"Чернышевское (эксп.), КЛГ ",
614808,"Чернышков, ПРИ ",Грузовая станция
215402,"Чернь, МОС ",Грузовая станция
829650,"Чернявская, ЮУР ",Станция
70624,"Черняковицы, ОКТ ",
438800,"Чернянка, ЮВО ",Грузовая станция
100800,"Черняховск, КЛГ ","Грузовая станция 
Является опорной"
100904,"Черняховск (эксп.), КЛГ ","Погранпереход 
Грузовая станция 
Международный экспорт"
70304,"Черская, ОКТ ",Грузовая станция
193203,"Чертаново, МОС ",Грузовая станция
364700,"Чертков, ЛЬВ ",Грузовая станция
586203,"Чертково, СКА ",Грузовая станция
580508,"Чертково (эксп.), СКА ",Грузовая станция
64430,"Чертолино, ОКТ ",Станция
466209,"Чертомлык, ПРД ",Грузовая станция
233106,"Черусти, МОС ",Грузовая станция
326200,"Чесноковка, ЮЗА ",Грузовая станция
334300,"Четырбоки, ЮЗА ",Грузовая станция
190506,"Чехов, МОС ",Грузовая станция
994400,"Чехов-Сахалинский, ДВО ",Грузовая станция
417715,"Чеховичи, ОД ",Разъезд
576305,"Чиатура, ГРУ ",Грузовая станция
751206,"Чигаджы, ТУР ",Станция
349908,"Чигинок, ЮЗА ",Грузовая станция
349406,"Чигинок (эксп.), ЮЗА ","Погранпереход 
Грузовая станция"
95800,"Чиекуркалнс, ЛАТ ",Грузовая станция
852303,"Чик, ЗСИ ",Грузовая станция
287608,"Чикшино, СЕВ ",Грузовая станция
615406,"Чилеково, ПРИ ",Грузовая станция
612624,"Чилеково, ПРИ ",Станция
524252,"Чилипси, СКА ",
703405,"Чильбастау, КЗХ ",Грузовая станция
908706,"Чильчи, ДВО ",Грузовая станция
283611,"Чим, СЕВ ",Станция
739308,"Чимбай, УЗБ ",Грузовая станция
399108,"Чимишлия, МОЛ ",Грузовая станция
741204,"Чартак, УЗБ ",Грузовая станция
355025,"Чарторийск, ЛЬВ ",Станция
887020,"Чартыковский, КРА ",Разъезд
545400,"Чархи, АЗЕ ",
886481,"Чарыш, КРА ",Станция
491605,"Часов Яр, ДОН ",Грузовая станция
158002,"Чаусы, БЕЛ ",Грузовая станция
667203,"Чашкан, КЗХ ",Грузовая станция
769426,"Чашкино (оп), СВЕ ",
168305,"Чашники, БЕЛ ",Грузовая станция
58800,"Чаща, ОКТ ",Грузовая станция
271440,"Чащинский, ГОР ",
401100,"Чеpномоpская, ОД ",Грузовая станция
400108,"Чеpномоpская (для ТИС), ОД ",Грузовая станция
403002,"Чеpномоpская (для ТИС) (эксп.), ОД ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
312621,"Чебаково, СЕВ ",Станция
916929,"Чебангда, ДВО ",
805209,"Чебаркуль, ЮУР ",Грузовая станция
835577,"Чебачий (обп), ЗСИ ",Обгонный пункт
812700,"Чебеньки, ЮУР ",Грузовая станция
248504,"Чебоксары, ГОР ",Грузовая станция
586858,"Чеботовка, СКА ",Станция
302009,"Чебсара, СЕВ ",Грузовая станция
854239,"Чебула, ЗСИ ",Станция
816241,"Чегалок, ЮУР ",
917207,"Чегдомын, ДВО ",Грузовая станция
772927,"Чекмень, СВЕ ",
525318,"Челбас, СКА ",Станция
682006,"Челгаши, КЗХ ",Грузовая станция
647002,"Челна, КБШ ",Грузовая станция
604401,"Челновая, ЮВО ",Грузовая станция
937906,"Челутай, ВСИ ",Грузовая станция
872063,"Челы, ЗСИ ",
464400,"Челюскин, ПРД ",Грузовая станция
234827,"Челюскинская, МОС ",
800008,"Челябинск-Главный, ЮУР ",Грузовая станция
800101,"Челябинск-Грузовой, ЮУР ",Грузовая станция
800605,"Челябинск-Южный, ЮУР ",Грузовая станция
755936,"Чеменибит, ТУР ",Станция
533140,"Чемитоквадже, СКА ",Разъезд
223502,"Чемодановка, МОС ",Грузовая станция
703700,"Чемолган, КЗХ ",Грузовая станция
843111,"Чемровка, ЗСИ ",Станция
850308,"Чемской, ЗСИ ",Грузовая станция
917315,"Чемчуко (рзд), ДВО ",Разъезд
343935,"Чепелиевка, ЮЗА ",
273605,"Чепецкая, ГОР ",Грузовая станция
160303,"Чепино, БЕЛ ",
347300,"Чеповичи, ЮЗА ",Грузовая станция
967329,"Чепсары, ДВО ",
745703,"Чептура, ТАД ",
761848,"Чепца, СВЕ ",Станция
761890,"Чепца-Игр, СВЕ ",
166600,"Червено, БЕЛ ",Грузовая станция
166628,"Червено-Стык, БЕЛ ",
916149,"Червинка, ДВО ",
542506,"Червленная, СКА ",Грузовая станция
542510,"Червленная-Узловая, СКА ",Станция
371305,"Червоноград, ЛЬВ ",Грузовая станция
413606,"Червоное Озеро (рзд), ОД ",Грузовая станция
646009,"Чердаклы, КБШ ",Грузовая станция
512021,"Черевково, СКА ",Станция
425016,"Череднички, ЮЖН ",
268715,"Черемас, ГОР ",
209204,"Черемисиново, МОС ",Грузовая станция
281000,"Черемуха, СЕВ ",Грузовая станция
325829,"Черемушки, ЮЗА ",
930907,"Черемхово, ВСИ ",Грузовая станция
651347,"Черемшан, КБШ ",
713401,"Черемшанка, КЗХ ",Грузовая станция
852407,"Черепаново, ЗСИ ",Грузовая станция
212902,"Черепеть, МОС ",Грузовая станция
302304,"Череповец I, СЕВ ",Грузовая станция
302507,"Череповец II, СЕВ ",Грузовая станция
302403,"Череповец-Пристань, СЕВ ",Грузовая станция
302704,"Череповец-Пристань (перев.), СЕВ ","Перевалка на реку 
Грузовая станция"
70408,"Череха, ОКТ ",Грузовая станция
863806,"Черкасов Камень, ЗСИ ",Грузовая станция
588507,"Черкасская, СКА ",Грузовая станция
424206,"Черкассы, ОД ","Погранпереход 
Грузовая станция"
233519,"Хорлово, МОС ",Станция
327260,"Хоробичи, ЮЗА ",Станция
327203,"Хоробичи (эксп.), ЮЗА ",Погранпереход
904813,"Хорогочи, ДВО ",Станция
427401,"Хорол, ЮЖН ",Грузовая станция
975202,"Хорольск, ДВО ",Грузовая станция
374308,"Хоросница, ЛЬВ ",Грузовая станция
363106,"Хоростков, ЛЬВ ",Грузовая станция
289618,"Хорота, СЕВ ",
845625,"Хорошавка, ЗСИ ",Станция
465403,"Хортица, ПРД ",
532839,"Хоста, СКА ",Станция
132002,"Хотислав, БЕЛ ",Грузовая станция
132106,"Хотислав (эксп.), БЕЛ ","Погранпереход 
Грузовая станция"
436203,"Хотмыжск, ЮВО ",Грузовая станция
513403,"Хотунок, СКА ",Грузовая станция
930413,"Хотхор, ВСИ ",Станция
44719,"Хотцы, ОКТ ",Станция
200604,"Хотынец, МОС ",Грузовая станция
236201,"Хотьково, МОС ",Грузовая станция
829237,"Хохлы, ЮУР ",
596101,"Хохольская, ЮВО ",Грузовая станция
798626,"Хохорэй (рзд), СВЕ ",Разъезд
940608,"Хохотуй, ЗАБ ",Грузовая станция
746706,"Хошады, ТАД ",Грузовая станция
746805,"Хошады (эксп.), ТАД ",Грузовая станция
409901,"Хощевато, ОД ",Грузовая станция
409742,"Хощевато (узк.), ОД ",Станция
794803,"Храмцовская, СВЕ ",Станция
230703,"Храпуново, МОС ",Грузовая станция
806004,"Хребет, ЮУР ",Грузовая станция
766428,"Хребет-Уральский, СВЕ ",Станция
925805,"Хребтовая, ВСИ ",Грузовая станция
582804,"Хреновая, ЮВО ",Грузовая станция
575500,"Хресили (оп), ГРУ ",Грузовая станция
794502,"Хризолитовый, СВЕ ",Грузовая станция
421104,"Христиновка, ОД ",Грузовая станция
990607,"Христофоровка, ДВО ",Грузовая станция
341643,"Хролин, ЮЗА ",Станция
668206,"Хромтау, КЗХ ",
781540,"Хрустальная, СВЕ ",Станция
223409,"Хрущево, МОС ",Грузовая станция
388508,"Хрыплин, ЛЬВ ",Грузовая станция
545107,"Худат, АЗЕ ",Грузовая станция
747802,"Худжанд, ТАД ",Грузовая станция
921503,"Худоеланская, ВСИ ",Грузовая станция
787706,"Худяково, СВЕ ",Грузовая станция
936725,"Хужир, ВСИ ",Станция
747003,"Хулбук, ТАД ",Грузовая станция
965624,"Хурба, ДВО ",Станция
919607,"Хурмули, ДВО ",Грузовая станция
385302,"Хуст, ЛЬВ ",Грузовая станция
328704,"Хутор-Михайловский, ЮЗА ",Грузовая станция
516910,"Хуторская, СКА ",Станция
967121,"Хуту, ДВО ",Разъезд
519110,"Хутуны, СКА ",
941102,"Хушенга, ЗАБ ",Грузовая станция
546704,"Хырдалан, АЗЕ ",Грузовая станция
374901,"Хыров, ЛЬВ ",Грузовая станция
645308,"Цильна, КБШ ",Грузовая станция
519904,"Цимлянская, СКА ",Грузовая станция
562406,"Цинандали (оп), ГРУ ",Грузовая станция
577026,"Ципа, ГРУ ",
113016,"Цирма, ЛАТ ",Станция
602209,"Цна, ЮВО ",Грузовая станция
562105,"Цнорис-Цхали, ГРУ ",Грузовая станция
216208,"Цон, МОС ",Грузовая станция
481105,"Цукуриха, ДОН ",Грузовая станция
359204,"Цумань, ЛЬВ ",Грузовая станция
575001,"Цхалтубо, ГРУ ",Грузовая станция
579407,"Цхинвали, ГРУ ",Грузовая станция
563803,"Цхра-Дзма (рзд.), ГРУ ",
423203,"Цыбулево, ОД ",
443673,"Цыганская, ЮЖН ",
418703,"Цюрупинск, ОД ",Грузовая станция
454201,"Чаплино, ПРД ",Грузовая станция
437901,"Чаплыжное, ЮВО ",Грузовая станция
612249,"Чапурники, ПРИ ",Станция
618033,"Чапчачи, ПРИ ",Станция
568309,"Чаренцаван, АРМ ",Грузовая станция
542703,"Хасав-Юрт, СКА ",Грузовая станция
987002,"Хасан, ДВО ","Грузовая станция 
Является опорной"
987106,"Хасан (эксп.), ДВО ","Погранпереход 
Грузовая станция 
Международный экспорт"
798611,"Хаслят, СВЕ ",
798715,"Хасырей, СВЕ ",
737500,"Хатеп, УЗБ ",Грузовая станция
746405,"Хатлон, ТАД ",Грузовая станция
746104,"Хатлон (эксп.), ТАД ","Грузовая станция 
Международный экспорт"
913812,"Хатыми (рзд), ЖДЯ ",
25737,"Хаутаваара, ОКТ ",Станция
545307,"Хачмас, АЗЕ ",Грузовая станция
577204,"Хашури, ГРУ ",
577100,"Хашури (эксп.), ГРУ ",
43909,"Хвойная, ОКТ ",Грузовая станция
597814,"Хворостянка, ЮВО ",Станция
964602,"Хевчен (рзд), ДВО ",Грузовая станция
23801,"Хелюля, ОКТ ",Грузовая станция
302210,"Хемалда, СЕВ ",Станция
417804,"Херсон, ОД ",Грузовая станция
418604,"Херсон (эксп. море), ОД ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
418506,"Херсон (эксп.), ОД ",
419320,"Херсон-Восточный, ОД ",
417908,"Херсон-Порт, ОД ",Грузовая станция
418008,"Херсон-Порт (эксп.), ОД ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
418402,"Херсон-Порт-пер.-экс. (речной), ОД ",
572520,"Хета (оп), ГРУ ",Станция
16121,"Хибины, ОКТ ",Станция
729607,"Хизирбобо, УЗБ ",
22404,"Хийтола, ОКТ ",Станция
392912,"Хилиуць, МОЛ ",
940909,"Хилок, ЗАБ ",Грузовая станция
637208,"Химзаводская, КБШ ",Грузовая станция
637104,"Химическая, КБШ ",Грузовая станция
60302,"Химки, ОКТ ",Грузовая станция
921409,"Хингуй, ВСИ ",Грузовая станция
596934,"Хитрово, ЮВО ",Станция
486908,"Хлебодаровка, ДОН ",Грузовая станция
581303,"Хлевище, ЮВО ",Грузовая станция
843944,"Хлопуново, ЗСИ ",Станция
631714,"Хлудово, КБШ ",
166422,"Хлусово, БЕЛ ",
422501,"Хлыстуновка, ОД ",Грузовая станция
168907,"Хлюстино, БЕЛ ",Грузовая станция
337703,"Хмельник, ЮЗА ",Грузовая станция
384456,"Хмельник (узк.), ЛЬВ ",Станция
330704,"Хмельницкий, ЮЗА ",Грузовая станция
985204,"Хмыловский (рзд), ДВО ",
984907,"Хмыловский (рзд) (эксп.), ДВО ",
572501,"Хоби, ГРУ ",Грузовая станция
603907,"Хоботово, ЮВО ",Грузовая станция
641129,"Хованщина, КБШ ",Станция
60001,"Ховрино, ОКТ ",Грузовая станция
730712,"Ходжадавлет, УЗБ ",Станция
730801,"Ходжадавлет (эксп.), УЗБ ",Погранпереход
737603,"Ходжейли, УЗБ ",Грузовая станция
722006,"Ходжикент, УЗБ ",
378205,"Ходовичи, ЛЬВ ",Грузовая станция
379104,"Ходоров, ЛЬВ ",Грузовая станция
158303,"Ходосы, БЕЛ ",Грузовая станция
249038,"Ходяшево, ГОР ",
154507,"Хойники, БЕЛ ",Грузовая станция
966519,"Хокайти, ДВО ",
948050,"Холбон, ЗАБ ",Станция
438904,"Холки, ЮВО ",Грузовая станция
204107,"Холмечи, МОС ",Грузовая станция
295202,"Холмогорская, СЕВ ",Станция
993304,"Холмск, ДВО ","Перевалка на паром 
Грузовая станция"
993408,"Холмск (перев.), ДВО ","Перевалка на море 
Грузовая станция"
993501,"Холмск (эксп.), ДВО ","Перевалка на море и экспорт 
Грузовая станция 
Международный экс"
993319,"Холмск-Северный, ДВО ",Станция
903327,"Холодная, ВСИ ",
154124,"Холодники, БЕЛ ",Станция
956709,"Холодный Ключ, ЗАБ ",Грузовая станция
337900,"Холоневская, ЮЗА ",Грузовая станция
919654,"Холони (рзд), ДВО ",
197308,"Холщевики, МОС ",Грузовая станция
217906,"Хомутово, МОС ",Грузовая станция
210502,"Хомяково, МОС ",Грузовая станция
887660,"Хоных, КРА ",Станция
971502,"Хор, ДВО ",Грузовая станция
399201,"Чимишлия (эксп.), МОЛ ","Погранпереход 
Грузовая станция"
726401,"Чимкурган, УЗБ ",
383504,"Чинадиево, ЛЬВ ",Остановочный пункт
724406,"Чиназ, УЗБ ",Грузовая станция
524245,"Чинары, СКА ",
666709,"Чингирлау, КЗХ ",Грузовая станция
285208,"Чиньяворык, СЕВ ",Грузовая станция
615105,"Чир, ПРИ ",Грузовая станция
592721,"Чириково, ЮВО ",Станция
721501,"Чирчик, УЗБ ",
197505,"Чисмена, МОС ",Грузовая станция
856910,"Чистенькая, КРЫМ ",
837708,"Чистоозёрная, ЗСИ ",Грузовая станция
867370,"Чистополье, КРЫМ ",Станция
772931,"Чистые Ключи (рзд), СВЕ ",
940006,"Чита I, ЗАБ ",Грузовая станция
940010,"Чита II, ЗАБ ",
57333,"Чихачево, ОКТ ",Станция
951142,"Чичатка, ЗАБ ",
651506,"Чишмы, КБШ ",Грузовая станция
651440,"Чишмы II, КБШ ",
688106,"Чкалово, КЗХ ",Грузовая станция
103620,"Чкаловск-Западный, КЛГ ",
235603,"Чкаловская, МОС ",Грузовая станция
284008,"Човью, СЕВ ",Грузовая станция
283804,"Човью (перев.), СЕВ ","Перевалка на реку 
Грузовая станция"
741740,"Чодак, УЗБ ",
699774,"Чокпак, КЗХ ",
58711,"Чолово, ОКТ ",Станция
475316,"Чонгар, ПРД ",
380101,"Чоп, ЛЬВ ",Грузовая станция
380309,"Чоп (эксп. ЖСР), ЛЬВ ","Погранпереход 
Грузовая станция 
Международный экспорт"
380205,"Чоп (эксп. МАВ), ЛЬВ ","Погранпереход 
Грузовая станция 
Международный экспорт"
380506,"Чоп (эксп. ОББ), ЛЬВ ","Погранпереход 
Грузовая станция 
Международный экспорт"
380600,"Чоп (эксп. ЧД), ЛЬВ ","Погранпереход 
Грузовая станция 
Международный экспорт"
380402,"Чоп (эксп. ЮЖ), ЛЬВ ","Погранпереход 
Грузовая станция 
Международный экспорт"
284440,"Чуб, СЕВ ",Станция
406706,"Чубовка, ОД ",Грузовая станция
422338,"Чубовка (о.п.), ОД ",
430809,"Чугуев, ЮЖН ",Грузовая станция
592401,"Чугун I, ЮВО ",Грузовая станция
592308,"Чугун II, ЮВО ",Грузовая станция
866043,"Чугунаш, ЗСИ ",
902235,"Чудничный (рзд), ВСИ ",
342108,"Чуднов-Волынский, ЮЗА ",Грузовая станция
42022,"Чудово-Кировское, ОКТ ",Станция
42003,"Чудово-Московское, ОКТ ",Грузовая станция
42018,"Чудово-Новгородское, ОКТ ",Станция
720000,"Чукурсай, УЗБ ",Грузовая станция
263923,"Чулково, ГОР ",Станция
852106,"Чулымская, ЗСИ ",Грузовая станция
913704,"Чульбасс, ЖДЯ ",
886305,"Чульжан (рзд), КРА ",Грузовая станция
913600,"Чульман (рзд), ЖДЯ ",
289118,"Чум, СЕВ ",Станция
483903,"Чумаково, ДОН ",Грузовая станция
796546,"Чумбулут, СВЕ ",Разъезд
797712,"Чумпас, СВЕ ",
923903,"Чуна, ВСИ ",Грузовая станция
481406,"Чунишино, ДОН ",Грузовая станция
895402,"Чунояр, КРА ",Грузовая станция
14304,"Чупа, ОКТ ",Грузовая станция
792530,"Чупино, СВЕ ",
277004,"Чур, ГОР ",Грузовая станция
675411,"Чурбай-Нура (оп), КЗХ ",Станция
801104,"Чурилово, ЮУР ",Грузовая станция
903810,"Чуро, ВСИ ",
767308,"Чусовская, СВЕ ",Грузовая станция
740803,"Чуст, УЗБ ",
643603,"Чуфарово, КБШ ",Грузовая станция
221348,"Чуфистовка, МОС ",Станция
270109,"Чухломинский, ГОР ",Грузовая станция
221704,"Чучково, МОС ",Грузовая станция
709139,"Шалабай, КЗХ ",
439964,"Шалаево, ЮВО ",
294007,"Шалакуша, СЕВ ",Грузовая станция
669904,"Шалкар, КЗХ ",Грузовая станция
935601,"Шалуты, ВСИ ",Грузовая станция
866217,"Шалым, ЗСИ ",Станция
783002,"Шаля, СВЕ ",Грузовая станция
992405,"Советское-Сахалинское, ДВО ",Грузовая станция
449400,"Совнаркомовская, ЮЖН ",Грузовая станция
936087,"Совхоз Тельман, ВСИ ",
255344,"Совхозный, ГОР ",
645903,"Совхозный (рзд), КБШ ",Грузовая станция
917620,"Согда, ДВО ",Станция
125615,"Содай, ЛИТ ",
155714,"Сож, БЕЛ ",
286215,"Сойва, СЕВ ",Станция
371403,"Сокаль, ЛЬВ ",Грузовая станция
368006,"Сокиряны, ЛЬВ ","Перевалка на реку и экспорт 
Грузовая станция"
368102,"Сокиряны (эксп.), ЛЬВ ","Погранпереход 
Грузовая станция"
991506,"Сокол, ДВО ",Грузовая станция
390809,"Соколень, МОЛ ",Грузовая станция
375230,"Соколики, ЛЬВ ",Станция
842918,"Соколинская, ЗСИ ",Станция
442172,"Соколово, ЮЖН ",Разъезд
235406,"Соколовская, МОС ",Грузовая станция
475803,"Сокологорное, ПРД ",Грузовая станция
592702,"Соколье, ЮВО ",
226201,"Сокольники, МОС ",Грузовая станция
349503,"Сокорики, ЮЗА ",
944736,"Соктуй, ЗАБ ",
716402,"Сокулук (рзд), КРГ ",Разъезд
851809,"Сокур, ЗСИ ",Грузовая станция
674508,"Сокыр, КЗХ ",Грузовая станция
259608,"Солдатка, ГОР ",Грузовая станция
537423,"Солдатская, СКА ",Станция
83802,"Солдина, ЭСТ ",Грузовая станция
669800,"Соленая, КЗХ ",Грузовая станция
856111,"Соленое Озеро, КРЫМ ",Станция
856107,"Соленое Озеро (эксп.), КРЫМ ",
148227,"Солигорск, БЕЛ ",Станция
509103,"Солидарный, ДОН ",Грузовая станция
769604,"Соликамск, СВЕ ",Грузовая станция
769500,"Соликамск II, СВЕ ",
966468,"Соллу, ДВО ",
180504,"Солнечная, МОС ",Грузовая станция
401986,"Солнечная, ОД ",
947700,"Солнцевая, ЗАБ ",Грузовая станция
437206,"Солнцево, ЮВО ",Грузовая станция
858812,"Солнышко, КРЫМ ",
439714,"Соловей, ЮВО ",
439701,"Соловей (эксп.), ЮВО ",Погранпереход
268611,"Соловейко (рзд), ГОР ",Разъезд
944907,"Соловьёвск, ЗАБ ","Грузовая станция 
Является опорной"
945002,"Соловьёвск (эксп.), ЗАБ ","Погранпереход 
Грузовая станция 
Международный экспорт"
45849,"Сологубовка, ОКТ ",
616023,"Солодовка (рзд), ПРИ ",
622700,"Солодча, ПРИ ",Грузовая станция
622908,"Соломатино, ПРИ ",Грузовая станция
291707,"Соломбалка, СЕВ ","Перевалка на реку 
Грузовая станция"
292004,"Соломбалка (перев.), СЕВ ",
291904,"Соломбалка (эксп.), СЕВ ",
918341,"Солони, ДВО ",Станция
429801,"Солоницкая, ЮЖН ",Грузовая станция
613326,"Солоново (рзд), ПРИ ",
616244,"Солончак, ПРИ ",
385707,"Солотвино I, ЛЬВ ",Станция
385904,"Солотвино II, ЛЬВ ",Грузовая станция
755300,"Солтанбент, ТУР ",Грузовая станция
163208,"Солы, БЕЛ ",Грузовая станция
494800,"Соль, ДОН ",Грузовая станция
280007,"Сольвычегодск, СЕВ ",Грузовая станция
280011,"Сольвычегодск-Северный, СЕВ ",
58001,"Сольцы, ОКТ ",Грузовая станция
381829,"Соля, ЛЬВ ",
893303,"Солянка, КРА ",Грузовая станция
44102,"Соминка, ОКТ ",Грузовая станция
590209,"Сомово, ЮВО ",Грузовая станция
885701,"Сон, КРА ",Грузовая станция
918816,"Сонах (рзд), ДВО ",Разъезд
82941,"Сонда, ЭСТ ",Станция
51106,"Сонково, ОКТ ",Грузовая станция
27501,"Сонозеро, ОКТ ",Грузовая станция
84519,"Соотага, ЭСТ ",Остановочный пункт
238902,"Соревнование, МОС ",Грузовая станция
420703,"Сорока, ОД ",Грузовая станция
892442,"Сорокино, КРА ",
690200,"Сороковая, КЗХ ",Грузовая станция
853306,"Сеятель, ЗСИ ",Грузовая станция
545909,"Сиазань, АЗЕ ",
818302,"Сибай, ЮУР ",Грузовая станция
850401,"Сибирская, ЗСИ ",Грузовая станция
974801,"Сибирцево, ДВО ",Грузовая станция
953006,"Сиваки, ЗАБ ",Грузовая станция
475301,"Сиваш, ПРД ",Станция
289001,"Сивая Маска, СЕВ ",Грузовая станция
72507,"Сиверская, ОКТ ",Грузовая станция
796724,"Сивыс-Ях, СВЕ ",
13528,"Сиг, ОКТ ",Станция
422107,"Сигнаевка, ОД ",Станция
69129,"Сигово, ОКТ ",Станция
95119,"Сигулда, ЛАТ ",Станция
51835,"Сидорково, ОКТ ",
110516,"Силава, ЛАТ ",
802215,"Силач, ЮУР ",Станция
191000,"Силикатная, МОС ",Грузовая станция
960419,"Силинка (рзд), ДВО ",Разъезд
797322,"Силинский, СВЕ ",
910320,"Силип (рзд), ДВО ",Разъезд
314006,"Сильницы, СЕВ ",Грузовая станция
994010,"Симаково, ДВО ",Станция
633508,"Симанщина, КБШ ",Грузовая станция
762709,"Симонята, СВЕ ",Грузовая станция
656266,"Симская, КБШ ",Станция
856906,"Симферополь, КРЫМ ",Грузовая станция
856802,"Симферополь-Грузовой, КРЫМ ",Грузовая станция
284900,"Синдор, СЕВ ",Грузовая станция
800506,"Синеглазово, ЮУР ",Грузовая станция
991402,"Синегорск, ДВО ",Грузовая станция
286624,"Синегорская, СЕВ ",
203848,"Синезерки, МОС ",Станция
453603,"Синельниково I, ПРД ",Грузовая станция
453500,"Синельниково II, ПРД ",Грузовая станция
511353,"Синявская, СКА ",Станция
786703,"Синячиха, СВЕ ",Грузовая станция
462706,"Синяя Гора, ПРД ",Грузовая станция
485801,"Сионитный, ДОН ",Грузовая станция
857222,"Сирень, КРЫМ ",
888818,"Сисим, КРА ",
546102,"Ситал-Чай, АЗЕ ",Грузовая станция
336503,"Ситковцы, ЮЗА ",Грузовая станция
152006,"Ситница, БЕЛ ",Грузовая станция
46249,"Сиуч, ОКТ ",Станция
